food;water;days;money
30;34;3;9530
18;24;3;9700
28;34;4;9550
30;34;3;9530
30;34;3;9530
40;44;4;9380
42;44;3;9360
42;44;3;9360
30;34;3;9530
30;34;3;9530
30;34;3;9530
30;34;3;9530
30;34;3;9530
18;24;3;9700
42;44;3;9360
30;34;3;9530
54;54;3;9190
54;54;3;9190
30;34;3;9530
42;44;3;9360
30;34;3;9530
30;34;3;9530
52;54;4;9210
30;34;3;9530
54;54;3;9190
30;34;3;9530
30;34;3;9530
42;44;3;9360
30;34;3;9530
54;54;3;9190
30;34;3;9530
30;34;3;9530
30;34;3;9530
30;34;3;9530
42;44;3;9360
30;34;3;9530
18;24;3;9700
42;44;3;9360
18;24;3;9700
42;44;3;9360
42;44;3;9360
42;44;3;9360
30;34;3;9530
54;54;3;9190
54;54;3;9190
30;34;3;9530
30;34;3;9530
30;34;3;9530
42;44;3;9360
54;54;3;9190
54;54;3;9190
42;44;3;9360
42;44;3;9360
42;44;3;9360
52;54;4;9210
30;34;3;9530
30;34;3;9530
18;24;3;9700
42;44;3;9360
40;44;4;9380
54;54;3;9190
30;34;3;9530
42;44;3;9360
30;34;3;9530
42;44;3;9360
30;34;3;9530
30;34;3;9530
42;44;3;9360
42;44;3;9360
54;54;3;9190
42;44;3;9360
30;34;3;9530
62;64;5;9060
42;44;3;9360
54;54;3;9190
30;34;3;9530
30;34;3;9530
18;24;3;9700
18;24;3;9700
54;54;3;9190
42;44;3;9360
42;44;3;9360
18;24;3;9700
18;24;3;9700
30;34;3;9530
18;24;3;9700
42;44;3;9360
42;44;3;9360
40;44;4;9380
50;54;5;9230
30;34;3;9530
42;44;3;9360
42;44;3;9360
30;34;3;9530
30;34;3;9530
30;34;3;9530
52;54;4;9210
30;34;3;9530
52;54;4;9210
30;34;3;9530
18;24;3;9700
30;34;3;9530
42;44;3;9360
30;34;3;9530
18;24;3;9700
42;44;3;9360
42;44;3;9360
42;44;3;9360
18;24;3;9700
42;44;3;9360
30;34;3;9530
54;54;3;9190
42;44;3;9360
30;34;3;9530
52;54;4;9210
54;54;3;9190
18;24;3;9700
54;54;3;9190
42;44;3;9360
18;24;3;9700
42;44;3;9360
18;24;3;9700
42;44;3;9360
30;34;3;9530
30;34;3;9530
30;34;3;9530
42;44;3;9360
30;34;3;9530
18;24;3;9700
30;34;3;9530
42;44;3;9360
30;34;3;9530
18;24;3;9700
18;24;3;9700
42;44;3;9360
30;34;3;9530
30;34;3;9530
40;44;4;9380
42;44;3;9360
18;24;3;9700
18;24;3;9700
54;54;3;9190
18;24;3;9700
30;34;3;9530
42;44;3;9360
18;24;3;9700
42;44;3;9360
42;44;3;9360
30;34;3;9530
42;44;3;9360
30;34;3;9530
54;54;3;9190
42;44;3;9360
54;54;3;9190
30;34;3;9530
42;44;3;9360
42;44;3;9360
18;24;3;9700
42;44;3;9360
42;44;3;9360
42;44;3;9360
30;34;3;9530
18;24;3;9700
42;44;3;9360
30;34;3;9530
42;44;3;9360
64;64;4;9040
42;44;3;9360
42;44;3;9360
42;44;3;9360
30;34;3;9530
30;34;3;9530
40;44;4;9380
18;24;3;9700
52;54;4;9210
42;44;3;9360
42;44;3;9360
54;54;3;9190
42;44;3;9360
18;24;3;9700
30;34;3;9530
30;34;3;9530
30;34;3;9530
52;54;4;9210
18;24;3;9700
30;34;3;9530
30;34;3;9530
30;34;3;9530
52;54;4;9210
30;34;3;9530
18;24;3;9700
42;44;3;9360
30;34;3;9530
18;24;3;9700
18;24;3;9700
30;34;3;9530
54;54;3;9190
30;34;3;9530
18;24;3;9700
30;34;3;9530
18;24;3;9700
30;34;3;9530
42;44;3;9360
54;54;3;9190
18;24;3;9700
54;54;3;9190
30;34;3;9530
42;44;3;9360
42;44;3;9360
30;34;3;9530
42;44;3;9360
42;44;3;9360
18;24;3;9700
64;64;4;9040
54;54;3;9190
30;34;3;9530
42;44;3;9360
40;44;4;9380
52;54;4;9210
54;54;3;9190
42;44;3;9360
42;44;3;9360
42;44;3;9360
54;54;3;9190
42;44;3;9360
42;44;3;9360
30;34;3;9530
18;24;3;9700
42;44;3;9360
52;54;4;9210
18;24;3;9700
52;54;4;9210
30;34;3;9530
40;44;4;9380
30;34;3;9530
42;44;3;9360
54;54;3;9190
54;54;3;9190
42;44;3;9360
30;34;3;9530
18;24;3;9700
30;34;3;9530
54;54;3;9190
42;44;3;9360
42;44;3;9360
42;44;3;9360
42;44;3;9360
18;24;3;9700
18;24;3;9700
30;34;3;9530
42;44;3;9360
54;54;3;9190
30;34;3;9530
30;34;3;9530
42;44;3;9360
54;54;3;9190
42;44;3;9360
40;44;4;9380
30;34;3;9530
30;34;3;9530
30;34;3;9530
30;34;3;9530
54;54;3;9190
42;44;3;9360
30;34;3;9530
30;34;3;9530
42;44;3;9360
18;24;3;9700
54;54;3;9190
18;24;3;9700
30;34;3;9530
30;34;3;9530
42;44;3;9360
54;54;3;9190
54;54;3;9190
42;44;3;9360
30;34;3;9530
52;54;4;9210
42;44;3;9360
54;54;3;9190
42;44;3;9360
42;44;3;9360
42;44;3;9360
42;44;3;9360
30;34;3;9530
42;44;3;9360
54;54;3;9190
42;44;3;9360
30;34;3;9530
30;34;3;9530
30;34;3;9530
18;24;3;9700
18;24;3;9700
30;34;3;9530
42;44;3;9360
54;54;3;9190
30;34;3;9530
30;34;3;9530
42;44;3;9360
54;54;3;9190
42;44;3;9360
30;34;3;9530
42;44;3;9360
42;44;3;9360
30;34;3;9530
42;44;3;9360
30;34;3;9530
42;44;3;9360
18;24;3;9700
30;34;3;9530
42;44;3;9360
74;74;5;8890
54;54;3;9190
30;34;3;9530
18;24;3;9700
18;24;3;9700
18;24;3;9700
42;44;3;9360
30;34;3;9530
42;44;3;9360
30;34;3;9530
42;44;3;9360
30;34;3;9530
30;34;3;9530
42;44;3;9360
30;34;3;9530
42;44;3;9360
42;44;3;9360
18;24;3;9700
30;34;3;9530
40;44;4;9380
30;34;3;9530
42;44;3;9360
42;44;3;9360
42;44;3;9360
42;44;3;9360
30;34;3;9530
50;54;5;9230
30;34;3;9530
52;54;4;9210
40;44;4;9380
64;64;4;9040
42;44;3;9360
42;44;3;9360
54;54;3;9190
30;34;3;9530
42;44;3;9360
40;44;4;9380
42;44;3;9360
42;44;3;9360
30;34;3;9530
18;24;3;9700
54;54;3;9190
30;34;3;9530
18;24;3;9700
30;34;3;9530
42;44;3;9360
18;24;3;9700
30;34;3;9530
18;24;3;9700
18;24;3;9700
30;34;3;9530
52;54;4;9210
42;44;3;9360
42;44;3;9360
30;34;3;9530
64;64;4;9040
18;24;3;9700
60;64;6;9080
54;54;3;9190
40;44;4;9380
42;44;3;9360
42;44;3;9360
30;34;3;9530
30;34;3;9530
42;44;3;9360
64;64;4;9040
42;44;3;9360
42;44;3;9360
30;34;3;9530
30;34;3;9530
42;44;3;9360
18;24;3;9700
42;44;3;9360
30;34;3;9530
42;44;3;9360
30;34;3;9530
42;44;3;9360
42;44;3;9360
42;44;3;9360
18;24;3;9700
30;34;3;9530
30;34;3;9530
40;44;4;9380
30;34;3;9530
42;44;3;9360
18;24;3;9700
42;44;3;9360
30;34;3;9530
64;64;4;9040
54;54;3;9190
42;44;3;9360
42;44;3;9360
42;44;3;9360
42;44;3;9360
52;54;4;9210
42;44;3;9360
30;34;3;9530
42;44;3;9360
40;44;4;9380
42;44;3;9360
42;44;3;9360
30;34;3;9530
30;34;3;9530
42;44;3;9360
18;24;3;9700
30;34;3;9530
42;44;3;9360
30;34;3;9530
18;24;3;9700
54;54;3;9190
30;34;3;9530
42;44;3;9360
52;54;4;9210
30;34;3;9530
18;24;3;9700
30;34;3;9530
52;54;4;9210
30;34;3;9530
42;44;3;9360
30;34;3;9530
42;44;3;9360
42;44;3;9360
42;44;3;9360
42;44;3;9360
30;34;3;9530
64;64;4;9040
42;44;3;9360
50;54;5;9230
42;44;3;9360
42;44;3;9360
42;44;3;9360
18;24;3;9700
42;44;3;9360
30;34;3;9530
42;44;3;9360
18;24;3;9700
42;44;3;9360
18;24;3;9700
28;34;4;9550
18;24;3;9700
30;34;3;9530
42;44;3;9360
42;44;3;9360
42;44;3;9360
54;54;3;9190
54;54;3;9190
42;44;3;9360
38;44;5;9400
30;34;3;9530
30;34;3;9530
18;24;3;9700
18;24;3;9700
52;54;4;9210
42;44;3;9360
28;34;4;9550
42;44;3;9360
42;44;3;9360
42;44;3;9360
30;34;3;9530
42;44;3;9360
54;54;3;9190
30;34;3;9530
30;34;3;9530
54;54;3;9190
54;54;3;9190
42;44;3;9360
42;44;3;9360
54;54;3;9190
42;44;3;9360
42;44;3;9360
30;34;3;9530
30;34;3;9530
62;64;5;9060
30;34;3;9530
54;54;3;9190
52;54;4;9210
64;64;4;9040
54;54;3;9190
42;44;3;9360
42;44;3;9360
42;44;3;9360
54;54;3;9190
30;34;3;9530
30;34;3;9530
30;34;3;9530
42;44;3;9360
30;34;3;9530
40;44;4;9380
54;54;3;9190
18;24;3;9700
42;44;3;9360
30;34;3;9530
54;54;3;9190
30;34;3;9530
30;34;3;9530
30;34;3;9530
42;44;3;9360
30;34;3;9530
28;34;4;9550
30;34;3;9530
52;54;4;9210
42;44;3;9360
54;54;3;9190
42;44;3;9360
30;34;3;9530
30;34;3;9530
54;54;3;9190
30;34;3;9530
40;44;4;9380
30;34;3;9530
30;34;3;9530
52;54;4;9210
28;34;4;9550
30;34;3;9530
28;34;4;9550
42;44;3;9360
18;24;3;9700
18;24;3;9700
30;34;3;9530
42;44;3;9360
54;54;3;9190
30;34;3;9530
30;34;3;9530
18;24;3;9700
42;44;3;9360
42;44;3;9360
42;44;3;9360
18;24;3;9700
42;44;3;9360
30;34;3;9530
42;44;3;9360
42;44;3;9360
30;34;3;9530
30;34;3;9530
42;44;3;9360
30;34;3;9530
18;24;3;9700
54;54;3;9190
42;44;3;9360
50;54;5;9230
18;24;3;9700
42;44;3;9360
54;54;3;9190
54;54;3;9190
30;34;3;9530
42;44;3;9360
42;44;3;9360
42;44;3;9360
54;54;3;9190
42;44;3;9360
42;44;3;9360
42;44;3;9360
54;54;3;9190
42;44;3;9360
30;34;3;9530
42;44;3;9360
30;34;3;9530
30;34;3;9530
42;44;3;9360
18;24;3;9700
30;34;3;9530
28;34;4;9550
42;44;3;9360
42;44;3;9360
18;24;3;9700
30;34;3;9530
18;24;3;9700
30;34;3;9530
42;44;3;9360
42;44;3;9360
42;44;3;9360
18;24;3;9700
30;34;3;9530
30;34;3;9530
40;44;4;9380
54;54;3;9190
30;34;3;9530
54;54;3;9190
42;44;3;9360
54;54;3;9190
42;44;3;9360
54;54;3;9190
54;54;3;9190
42;44;3;9360
30;34;3;9530
42;44;3;9360
42;44;3;9360
52;54;4;9210
42;44;3;9360
30;34;3;9530
30;34;3;9530
42;44;3;9360
54;54;3;9190
42;44;3;9360
30;34;3;9530
42;44;3;9360
42;44;3;9360
18;24;3;9700
54;54;3;9190
30;34;3;9530
42;44;3;9360
30;34;3;9530
30;34;3;9530
54;54;3;9190
52;54;4;9210
30;34;3;9530
30;34;3;9530
42;44;3;9360
42;44;3;9360
52;54;4;9210
42;44;3;9360
42;44;3;9360
30;34;3;9530
30;34;3;9530
30;34;3;9530
30;34;3;9530
30;34;3;9530
30;34;3;9530
54;54;3;9190
30;34;3;9530
18;24;3;9700
42;44;3;9360
30;34;3;9530
54;54;3;9190
42;44;3;9360
18;24;3;9700
30;34;3;9530
30;34;3;9530
54;54;3;9190
42;44;3;9360
52;54;4;9210
40;44;4;9380
30;34;3;9530
18;24;3;9700
30;34;3;9530
54;54;3;9190
42;44;3;9360
30;34;3;9530
18;24;3;9700
18;24;3;9700
40;44;4;9380
18;24;3;9700
52;54;4;9210
42;44;3;9360
30;34;3;9530
30;34;3;9530
18;24;3;9700
54;54;3;9190
30;34;3;9530
42;44;3;9360
42;44;3;9360
30;34;3;9530
30;34;3;9530
54;54;3;9190
18;24;3;9700
30;34;3;9530
30;34;3;9530
30;34;3;9530
54;54;3;9190
42;44;3;9360
30;34;3;9530
30;34;3;9530
30;34;3;9530
42;44;3;9360
18;24;3;9700
30;34;3;9530
52;54;4;9210
30;34;3;9530
42;44;3;9360
54;54;3;9190
30;34;3;9530
42;44;3;9360
42;44;3;9360
42;44;3;9360
42;44;3;9360
54;54;3;9190
42;44;3;9360
52;54;4;9210
18;24;3;9700
18;24;3;9700
42;44;3;9360
30;34;3;9530
30;34;3;9530
18;24;3;9700
42;44;3;9360
30;34;3;9530
54;54;3;9190
42;44;3;9360
